"ItemNo","ItemDescr","ColourLikeDescr","ColourDescr","MaingroupDescr","Price","DesignId"
4210631,"RADIATOR GRILLE 1X2","Grey","DK. ST. GREY","Plates","0.06",2412
4211350,"RADIATOR GRILLE 1X2","Grey","MED. ST-GREY","Plates","0.06",2412
4218193,"RADIATOR GRILLE 1X2","","DK.ORA","Plates","-1.00",2412
4224243,"RADIATOR GRILLE 1X2","","RED. BROWN","Plates","0.06",2412
4225575,"RADIATOR GRILLE 1X2","Blue","EARTH BLUE","Plates","-1.00",2412
4490599,"RADIATOR GRILLE 1X2","","W.GOLD","Plates","-1.00",2412
4537921,"RADIATOR GRILLE 1X2","","BR.YEL-GREEN","Plates","-1.00",2412
4541506,"RADIATOR GRILLE 1X2","Red","NEW DARK RED","Plates","0.06",2412
4619636,"RADIATOR GRILLE 1X2","","SILVER MET.","Plates","0.06",2412
4655690,"RADIATOR GRILLE 1X2","","M. LILAC","Plates","0.07",2412
6022579,"RADIATOR GRILLE 1X2","Blue","EARTH BLUE","Plates","0.06",2412
6071200,"RADIATOR GRILLE 1X2","","OLIVE GREEN","Plates","0.10",2412
6146505,"RADIATOR GRILLE 1X2","","EARTH GREEN","Plates","0.07",2412
6152109,"RADIATOR GRILLE 1X2","Blue","DARK AZUR","Plates","0.07",2412
241301,"AEROPLANEWING 4X9","White","WHITE","Bricks, Special","-1.00",2413
241321,"AEROPLANEWING 4X9","Red","BR.RED","Bricks, Special","-1.00",2413
4107093,"AEROPLANEWING 4X9","Grey","GREY","Bricks, Special","-1.00",2413
4120499,"AEROPLANEWING 4X9","Grey","DK.GREY","Bricks, Special","-1.00",2413
4141469,"AEROPLANEWING 4X9","","BRICK-YEL","Bricks, Special","-1.00",2413
4211126,"AEROPLANEWING 4X9","Grey","DK. ST. GREY","Bricks, Special","-1.00",2413
4211558,"AEROPLANEWING 4X9","Grey","MED. ST-GREY","Bricks, Special","-1.00",2413
4211351,"WHEEL FORK 2X2","Grey","MED. ST-GREY","Bricks, Special","0.31",2415
4129872,"LIMB ELEMENT","","BR.GREEN","Botanic","-1.00",2417
4505066,"LIMB ELEMENT","","EARTH GREEN","Botanic","0.28",2417
4613823,"LIMB ELEMENT","","DK.GREEN","Botanic","0.29",2417
6021978,"LIMB ELEMENT","Red","NEW DARK RED","Botanic","-1.00",2417
6039193,"LIMB ELEMENT","","DK.ORA","Botanic","0.31",2417
6093469,"LIMB ELEMENT","White","WHITE","Botanic","0.30",2417
6097523,"LIMB ELEMENT","","M. LILAC","Botanic","0.31",2417
6133021,"LIMB ELEMENT","Purple","BR.RED-VIOL.","Botanic","0.29",2417
241901,"CORNER PLATE 3X6","White","WHITE","Plates, special circles and angles","0.31",2419
241902,"CORNER PLATE 3X6","Grey","GREY","Plates, special circles and angles","-1.00",2419
241921,"CORNER PLATE 3X6","Red","BR.RED","Plates, special circles and angles","0.40",2419
241923,"CORNER PLATE 3X6","Blue","BR.BLUE","Plates, special circles and angles","0.32",2419
241924,"CORNER PLATE 3X6","Yellow","BR.YEL","Plates, special circles and angles","-1.00",2419
241926,"CORNER PLATE 3X6","Black","BLACK","Plates, special circles and angles","0.31",2419
241927,"CORNER PLATE 3X6","Grey","DK.GREY","Plates, special circles and angles","-1.00",2419
241928,"CORNER PLATE 3X6","","DK.GREEN","Plates, special circles and angles","0.32",2419
4143042,"CORNER PLATE 3X6","","SAND GREEN","Plates, special circles and angles","-1.00",2419
4208193,"CORNER PLATE 3X6","","DK.ORA","Plates, special circles and angles","-1.00",2419
4210984,"CORNER PLATE 3X6","Grey","DK. ST. GREY","Plates, special circles and angles","-1.00",2419
4211352,"CORNER PLATE 3X6","Grey","MED. ST-GREY","Plates, special circles and angles","0.31",2419
4229601,"CORNER PLATE 3X6","","BR.ORANGE","Plates, special circles and angles","-1.00",2419
6035326,"CORNER PLATE 3X6","","SAND YELLOW","Plates, special circles and angles","0.38",2419
6127326,"CORNER PLATE 3X6","Blue","EARTH BLUE","Plates, special circles and angles","0.36",2419
6136608,"CORNER PLATE 3X6","Red","NEW DARK RED","Plates, special circles and angles","0.36",2419
6185123,"CORNER PLATE 3X6","","BR.YEL-GREEN","Plates, special circles and angles","-1.00",2419
242001,"CORNER PLATE 1X2X2","White","WHITE","Plates","0.07",2420
242002,"CORNER PLATE 1X2X2","Grey","GREY","Plates","-1.00",2420
242021,"CORNER PLATE 1X2X2","Red","BR.RED","Plates","0.07",2420
242023,"CORNER PLATE 1X2X2","Blue","BR.BLUE","Plates","0.07",2420
242024,"CORNER PLATE 1X2X2","Yellow","BR.YEL","Plates","0.07",2420
242026,"CORNER PLATE 1X2X2","Black","BLACK","Plates","0.07",2420
4114077,"CORNER PLATE 1X2X2","","BRICK-YEL","Plates","0.07",2420
4124091,"CORNER PLATE 1X2X2","Grey","DK.GREY","Plates","-1.00",2420
4155203,"CORNER PLATE 1X2X2","","SAND GREEN","Plates","-1.00",2420
4157120,"CORNER PLATE 1X2X2","","DK.GREEN","Plates","0.07",2420
4164222,"CORNER PLATE 1X2X2","Red","NEW DARK RED","Plates","-1.00",2420
4164313,"CORNER PLATE 1X2X2","Orange-brown","EARTH-ORA","Plates","-1.00",2420
4164435,"CORNER PLATE 1X2X2","","DK.ORA","Plates","-1.00",2420
4179827,"CORNER PLATE 1X2X2","Blue","MD.BLUE","Plates","-1.00",2420
4188450,"CORNER PLATE 1X2X2","","BR.ORANGE","Plates","-1.00",2420
4195407,"CORNER PLATE 1X2X2","Orange-brown","BR.YELORA","Plates","-1.00",2420
4210635,"CORNER PLATE 1X2X2","Grey","DK. ST. GREY","Plates","0.07",2420
4211257,"CORNER PLATE 1X2X2","","RED. BROWN","Plates","0.07",2420
4211353,"CORNER PLATE 1X2X2","Grey","MED. ST-GREY","Plates","0.07",2420
4225179,"CORNER PLATE 1X2X2","","M. LILAC","Plates","-1.00",2420
4227784,"CORNER PLATE 1X2X2","Blue","SAND BLUE","Plates","-1.00",2420
4528482,"CORNER PLATE 1X2X2","Blue","EARTH BLUE","Plates","0.10",2420
4550168,"CORNER PLATE 1X2X2","","SAND YELLOW","Plates","0.08",2420
4585751,"CORNER PLATE 1X2X2","Red","NEW DARK RED","Plates","0.10",2420
4619517,"CORNER PLATE 1X2X2","","MEDIUM LAVENDER","Plates","0.10",2420
4633822,"CORNER PLATE 1X2X2","","BR.YEL-GREEN","Plates","0.10",2420
6099714,"CORNER PLATE 1X2X2","Yellow","FL. YELL-ORA","Plates","0.10",2420
6106027,"CORNER PLATE 1X2X2","","BR.ORANGE","Plates","0.10",2420
6167461,"CORNER PLATE 1X2X2","","M. LILAC","Plates","0.10",2420
6177535,"CORNER PLATE 1X2X2","","M. NOUGAT","Plates","0.10",2420
6179916,"CORNER PLATE 1X2X2","Purple","BR.RED-VIOL.","Plates","0.10",2420
6188471,"CORNER PLATE 1X2X2","","DK.ORA","Plates","0.12",2420
4257854,"PROPELLER","Grey","MED. ST-GREY","Bricks, Special","-1.00",2421
4289255,"PROPELLER","Black","BLACK","Bricks, Special","0.19",2421
242328,"LIMB ELEMENT, SMALL","","DK.GREEN","Botanic","0.16",2423
6006425,"LIMB ELEMENT, SMALL","","OLIVE GREEN","Botanic","0.17",2423
6024916,"LIMB ELEMENT, SMALL","Red","NEW DARK RED","Botanic","0.18",2423
6093480,"LIMB ELEMENT, SMALL","Purple","BR. PURPLE","Botanic","0.16",2423
6093902,"LIMB ELEMENT, SMALL","","LAVENDER","Botanic","0.18",2423
6094069,"LIMB ELEMENT, SMALL","","BR.YEL-GREEN","Botanic","0.16",2423
6097516,"LIMB ELEMENT, SMALL","","M. LILAC","Botanic","0.18",2423
6135500,"LIMB ELEMENT, SMALL","White","WHITE","Botanic","0.16",2423
6177019,"LIMB ELEMENT, SMALL","Purple","BR.RED-VIOL.","Botanic","0.17",2423
243101,"FLAT TILE 1X4","White","WHITE","Plates","0.11",2431
243102,"FLAT TILE 1X4","Grey","GREY","Plates","-1.00",2431
243121,"FLAT TILE 1X4","Red","BR.RED","Plates","0.11",2431
243123,"FLAT TILE 1X4","Blue","BR.BLUE","Plates","0.11",2431
243124,"FLAT TILE 1X4","Yellow","BR.YEL","Plates","0.11",2431
243126,"FLAT TILE 1X4","Black","BLACK","Plates","0.11",2431
243128,"FLAT TILE 1X4","","DK.GREEN","Plates","0.11",2431
4109979,"FLAT TILE 1X4","Grey","DK.GREY","Plates","-1.00",2431
4116732,"FLAT TILE 1X4","Orange-brown","EARTH-ORA","Plates","-1.00",2431
4160593,"FLAT TILE 1X4","","BR.ORANGE","Plates","0.12",2431
4162177,"FLAT TILE 1X4","","SAND GREEN","Plates","-1.00",2431
4164021,"FLAT TILE 1X4","","BR.YEL-GREEN","Plates","0.11",2431
4211053,"FLAT TILE 1X4","Grey","DK. ST. GREY","Plates","0.11",2431
4211194,"FLAT TILE 1X4","","RED. BROWN","Plates","0.11",2431
4211356,"FLAT TILE 1X4","Grey","MED. ST-GREY","Plates","0.11",2431
4216356,"FLAT TILE 1X4","Blue","DO. BLUE","Plates","-1.00",2431
4227790,"FLAT TILE 1X4","Blue","SAND BLUE","Plates","-1.00",2431
4248267,"FLAT TILE 1X4","","EARTH GREEN","Plates","-1.00",2431
4250597,"FLAT TILE 1X4","Blue","PASTBLU","Plates","-1.00",2431
4536989,"FLAT TILE 1X4","","DK. BROWN","Plates","-1.00",2431
4539060,"FLAT TILE 1X4","Red","NEW DARK RED","Plates","0.12",2431
4543949,"FLAT TILE 1X4","","EARTH GREEN","Plates","0.13",2431
4550324,"FLAT TILE 1X4","","BRICK-YEL","Plates","0.11",2431
4597999,"FLAT TILE 1X4","Blue","MD.BLUE","Plates","0.14",2431
4616588,"FLAT TILE 1X4","","SAND GREEN","Plates","-1.00",2431
4621552,"FLAT TILE 1X4","Purple","LGH. PURPLE","Plates","0.14",2431
4624705,"FLAT TILE 1X4","Blue","MEDIUM AZUR","Plates","0.12",2431
4647548,"FLAT TILE 1X4","","BR.GREEN","Plates","-1.00",2431
6057988,"FLAT TILE 1X4","","M. LILAC","Plates","0.14",2431
6072668,"FLAT TILE 1X4","Yellow","FL. YELL-ORA","Plates","0.13",2431
6074893,"FLAT TILE 1X4","","DK.ORA","Plates","0.14",2431
6078305,"FLAT TILE 1X4","Purple","BR.RED-VIOL.","Plates","0.14",2431
6102537,"FLAT TILE 1X4","Blue","AQUA","Plates","0.14",2431
6102998,"FLAT TILE 1X4","","M. NOUGAT","Plates","0.13",2431
6103005,"FLAT TILE 1X4","","W.GOLD","Plates","-1.00",2431
6103985,"FLAT TILE 1X4","Blue","EARTH BLUE","Plates","0.16",2431
6109874,"FLAT TILE 1X4","","MEDIUM LAVENDER","Plates","0.12",2431
6147732,"FLAT TILE 1X4","Purple","BR. PURPLE","Plates","0.16",2431
243201,"CLAMP 1X2","White","WHITE","Plates, special","0.14",2432
243202,"CLAMP 1X2","Grey","GREY","Plates, special","-1.00",2432
243221,"CLAMP 1X2","Red","BR.RED","Plates, special","0.14",2432
243223,"CLAMP 1X2","Blue","BR.BLUE","Plates, special","0.14",2432
243224,"CLAMP 1X2","Yellow","BR.YEL","Plates, special","0.14",2432
243226,"CLAMP 1X2","Black","BLACK","Plates, special","0.14",2432
4107492,"CLAMP 1X2","Grey","DK.GREY","Plates, special","-1.00",2432
4159944,"CLAMP 1X2","","DK.GREEN","Plates, special","-1.00",2432
4163461,"CLAMP 1X2","Red","NEW DARK RED","Plates, special","-1.00",2432
4211039,"CLAMP 1X2","Grey","DK. ST. GREY","Plates, special","0.14",2432
