"replacementBrickService","Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price","pickABrickService"
true,"Bricks, Special",,"15066","6051525","W.GOLD","MINI ARMOR W.CROSS HOLE",,
true,"Bricks with bows and arches",,"15068","6046924","BRICK-YEL","PLATE W. BOW  2X2X2/3","£0.11",
true,"Bricks with bows and arches",,"15068","6047037","DK. BROWN","PLATE W. BOW  2X2X2/3","£0.12",
true,"Bricks with bows and arches","White","15068","6047220","[""White"",""WHITE""]","PLATE W. BOW  2X2X2/3","[""£0.12"",""£0.11""]",true
true,"Bricks with bows and arches","Black","15068","6053077","[""Black"",""BLACK""]","PLATE W. BOW  2X2X2/3","[""£0.12"",""£0.11""]",true
true,"Bricks with bows and arches","Blue","15068","6061569","EARTH BLUE","PLATE W. BOW  2X2X2/3","£0.12",
true,"Bricks with bows and arches",,"15068","6067913","BR.ORANGE","PLATE W. BOW  2X2X2/3","£0.12",
true,"Bricks with bows and arches","Grey","15068","6071261","[""Dark stone grey"",""DK. ST. GREY""]","PLATE W. BOW  2X2X2/3","[""£0.12"",null]",true
true,"Bricks with bows and arches","Yellow","15068","6079007","BR.YEL","PLATE W. BOW  2X2X2/3","£0.11",
true,"Bricks with bows and arches","[""Dark Green"",null]","15068","6080431","[""Sand green"",""SAND GREEN""]","PLATE W. BOW  2X2X2/3","£0.12",true
true,"Bricks with bows and arches",,"15068","6083508","SILVER MET.","PLATE W. BOW  2X2X2/3",,
true,"Bricks with bows and arches",,"15068","6093038","SAND YELLOW","PLATE W. BOW  2X2X2/3","£0.13",
true,"Bricks with bows and arches","Yellow","15068","6099730","FL. YELL-ORA","PLATE W. BOW  2X2X2/3","£0.12",
true,"Bricks with bows and arches",,"15068","6101285","EARTH GREEN","PLATE W. BOW  2X2X2/3","£0.12",
true,"Bricks with bows and arches","Grey","15068","6102357","MED. ST-GREY","PLATE W. BOW  2X2X2/3","£0.10",
true,"Bricks with bows and arches",,"15068","6104344","DK.ORA","PLATE W. BOW  2X2X2/3","£0.12",
true,"Bricks with bows and arches","Red","15068","6105976","BR.RED","PLATE W. BOW  2X2X2/3","£0.11",
true,"Bricks with bows and arches","Red","15068","6107758","NEW DARK RED","PLATE W. BOW  2X2X2/3","£0.12",
true,"Bricks with bows and arches",,"15068","6112964","LAVENDER","PLATE W. BOW  2X2X2/3","£0.13",
true,"Bricks with bows and arches","[""Dark Green"",null]","15068","6116259","[""Dark green"",""DK.GREEN""]","PLATE W. BOW  2X2X2/3","£0.12",true
true,"Bricks with bows and arches","Blue","15068","6116786","BR.BLUE","PLATE W. BOW  2X2X2/3","£0.11",
